rule_id,priority,source_scope,municipality_code,match_field,match_type,match_value,designation_level_code,designation_level_ja,designation_status_code,designation_status_ja,heritage_type_major_code,heritage_type_major_ja,heritage_type_detail,confidence,basis,needs_source_lookup,note
R0097,20,municipal,13122,category,exact,旧跡,municipal,区市町村,unknown,不明,monument,記念物,旧跡,low,observed_municipal,0,当該自治体データセットの無接頭辞分類; 分類名に指定/登録の区別なし; 旧跡を明示
R0098,20,municipal,13122,category,exact,有形文化財,municipal,区市町村,unknown,不明,tangible,有形文化財,未細分,low,observed_municipal,0,当該自治体データセットの無接頭辞分類; 分類名に指定/登録の区別なし; 有形文化財を明示
R0099,20,municipal,13122,category,exact,有形民俗文化財,municipal,区市町村,unknown,不明,folk,民俗文化財,有形民俗文化財,low,observed_municipal,0,当該自治体データセットの無接頭辞分類; 分類名に指定/登録の区別なし; 有形民俗を明示
R0100,20,municipal,13122,category,exact,無形文化財,municipal,区市町村,unknown,不明,intangible,無形文化財,未細分,low,observed_municipal,0,当該自治体データセットの無接頭辞分類; 分類名に指定/登録の区別なし; 無形文化財を明示
R0101,20,municipal,13122,category,exact,無形民俗文化財,municipal,区市町村,unknown,不明,folk,民俗文化財,無形民俗文化財,low,observed_municipal,0,当該自治体データセットの無接頭辞分類; 分類名に指定/登録の区別なし; 無形民俗を明示
R0102,20,municipal,13122,category,exact,登録有形文化財,national,国,registered,登録,tangible,有形文化財,未細分,medium,observed_municipal,0,当該混在データセットの登録有形文化財は国登録として扱う; 明示; 有形文化財を明示
R0103,20,municipal,13122,category,exact,選定保存技術,national,国,selected,選定,preservation_technique,文化財保存技術,保存技術,high,observed_municipal,0,国制度の定型名称; 明示; 保存技術を明示
R0104,20,municipal,13122,category,exact,重要文化的景観,national,国,selected,選定,cultural_landscape,文化的景観,文化的景観,high,observed_municipal,0,国制度の定型名称; 明示; 文化的景観を明示
R0105,20,municipal,13122,category,exact,重要文化財,national,国,designated,指定,unknown,未判定,重要文化財,high,observed_municipal,0,国制度の定型名称; 指定/国制度名称を明示
R0106,20,municipal,13122,category,exact,重要無形文化財,national,国,designated,指定,intangible,無形文化財,未細分,high,observed_municipal,0,国制度の定型名称; 指定/国制度名称を明示; 無形文化財を明示
R0107,20,municipal,13208,category,exact,国宝（美術工芸品・彫刻）,national,国,designated,指定,tangible,有形文化財,彫刻,high,observed_municipal,0,国制度を明示; 指定/国制度名称を明示; 彫刻を明示
R0108,20,municipal,13208,category,exact,国指定史跡,national,国,designated,指定,monument,記念物,史跡,high,observed_municipal,0,国制度を明示; 指定/国制度名称を明示; 史跡を明示
R0109,20,municipal,13208,category,exact,国指定重要文化財（工芸）,national,国,designated,指定,tangible,有形文化財,美術工芸品,high,observed_municipal,0,国制度を明示; 指定/国制度名称を明示; 工芸/美術工芸を明示
R0110,20,municipal,13208,category,exact,国登録有形文化財（建造物）,national,国,registered,登録,tangible,有形文化財,建造物,high,observed_municipal,0,国制度を明示; 明示; 建造物を明示
R0111,20,municipal,13208,category,exact,市指定史跡,municipal,区市町村,designated,指定,monument,記念物,史跡,high,observed_municipal,0,市/区制度名を明示; 指定/国制度名称を明示; 史跡を明示
R0112,20,municipal,13208,category,exact,市指定天然記念物（植物）,municipal,区市町村,designated,指定,monument,記念物,天然記念物,high,observed_municipal,0,市/区制度名を明示; 指定/国制度名称を明示; 天然記念物を明示
R0113,20,municipal,13208,category,exact,市指定旧跡,municipal,区市町村,designated,指定,monument,記念物,旧跡,high,observed_municipal,0,市/区制度名を明示; 指定/国制度名称を明示; 旧跡を明示
R0114,20,municipal,13208,category,exact,市指定有形文化財（典籍）,municipal,区市町村,designated,指定,tangible,有形文化財,典籍,high,observed_municipal,0,市/区制度名を明示; 指定/国制度名称を明示; 典籍を明示
R0115,20,municipal,13208,category,exact,市指定有形文化財（古文書）,municipal,区市町村,designated,指定,tangible,有形文化財,古文書,high,observed_municipal,0,市/区制度名を明示; 指定/国制度名称を明示; 古文書を明示
R0116,20,municipal,13208,category,exact,市指定有形文化財（工芸品）,municipal,区市町村,designated,指定,tangible,有形文化財,美術工芸品,high,observed_municipal,0,市/区制度名を明示; 指定/国制度名称を明示; 工芸/美術工芸を明示
R0117,20,municipal,13208,category,exact,市指定有形文化財（建造物）,municipal,区市町村,designated,指定,tangible,有形文化財,建造物,high,observed_municipal,0,市/区制度名を明示; 指定/国制度名称を明示; 建造物を明示
R0118,20,municipal,13208,category,exact,市指定有形文化財（彫刻）,municipal,区市町村,designated,指定,tangible,有形文化財,彫刻,high,observed_municipal,0,市/区制度名を明示; 指定/国制度名称を明示; 彫刻を明示
R0119,20,municipal,13208,category,exact,市指定有形文化財（歴史資料）,municipal,区市町村,designated,指定,tangible,有形文化財,歴史資料,high,observed_municipal,0,市/区制度名を明示; 指定/国制度名称を明示; 歴史資料を明示
R0120,20,municipal,13208,category,exact,市指定有形文化財（絵画）,municipal,区市町村,designated,指定,tangible,有形文化財,絵画,high,observed_municipal,0,市/区制度名を明示; 指定/国制度名称を明示; 絵画を明示
R0121,20,municipal,13208,category,exact,市指定有形文化財（考古資料）,municipal,区市町村,designated,指定,tangible,有形文化財,考古資料,high,observed_municipal,0,市/区制度名を明示; 指定/国制度名称を明示; 考古資料を明示
R0122,20,municipal,13208,category,exact,市指定有形民俗文化財（民俗）,municipal,区市町村,designated,指定,folk,民俗文化財,有形民俗文化財（民俗）,high,observed_municipal,0,市/区制度名を明示; 指定/国制度名称を明示; 有形民俗を明示
R0123,20,municipal,13208,category,exact,市指定有形民俗文化財（金石文等）,municipal,区市町村,designated,指定,folk,民俗文化財,有形民俗文化財（金石文等）,high,observed_municipal,0,市/区制度名を明示; 指定/国制度名称を明示; 有形民俗を明示
R0124,20,municipal,13208,category,exact,市指定無形民俗文化財（民俗芸能）,municipal,区市町村,designated,指定,folk,民俗文化財,無形民俗文化財（民俗芸能）,high,observed_municipal,0,市/区制度名を明示; 指定/国制度名称を明示; 無形民俗を明示
R0125,20,municipal,13208,category,exact,都指定史跡,prefectural,都,designated,指定,monument,記念物,史跡,high,observed_municipal,0,東京都/都制度を明示; 指定/国制度名称を明示; 史跡を明示
R0126,20,municipal,13208,category,exact,都指定天然記念物,prefectural,都,designated,指定,monument,記念物,天然記念物,high,observed_municipal,0,東京都/都制度を明示; 指定/国制度名称を明示; 天然記念物を明示
R0127,20,municipal,13208,category,exact,都指定有形文化財（彫刻）,prefectural,都,designated,指定,tangible,有形文化財,彫刻,high,observed_municipal,0,東京都/都制度を明示; 指定/国制度名称を明示; 彫刻を明示
R0128,20,municipal,13208,category,exact,都指定有形文化財（考古資料）,prefectural,都,designated,指定,tangible,有形文化財,考古資料,high,observed_municipal,0,東京都/都制度を明示; 指定/国制度名称を明示; 考古資料を明示
R0129,20,municipal,13210,category,exact,史跡,unknown,不明,unknown,不明,monument,記念物,史跡,low,observed_municipal,1,同じ無接頭辞語が複数指定レベルで使われ得るためnational/Tokyo exact cross-referenceで解決; 分類名に指定/登録の区別なし; 史跡を明示
