municipality_code,organization_type,organization,status,canonical_api_id,dataset_id,notes
13209,市,町田市,統合文化財一覧API未確認,,,現行東京都オープンデータAPIカタログで、指定・登録文化財をまとめた「文化財一覧」APIを今回確認できず。
13210,市,小金井市,API確認,t132101d0000000001-f8cabbeea2be133d4ffeaa3b0c2bda68-0,t132101d0000000001,
13211,市,小平市,API確認,t132110d0000000003-a8c5988e1bf384612a7deb1a7a2b41c6-0,t132110d0000000003,
13212,市,日野市,統合文化財一覧API未確認,,,現行東京都オープンデータAPIカタログで、指定・登録文化財をまとめた「文化財一覧」APIを今回確認できず。
13213,市,東村山市,API確認,t132136d3100000007-cd8068d3f2168d57872497ccab66cc1f-0,t132136d3100000007,
13214,市,国分寺市,API確認,t132144d3100000007-d25475b85243fb5db22e6fc42c9ee753-0,t132144d3100000007,
13215,市,国立市,API確認,t132152d0000000014-e80d7e4f95775dcefed1b1cdbd8d8dfc-0,t132152d0000000014,
13218,市,福生市,統合文化財一覧API未確認,,,現行東京都オープンデータAPIカタログで、指定・登録文化財をまとめた「文化財一覧」APIを今回確認できず。
13219,市,狛江市,API確認,t132195d0000000003-4aa1557f5c9bde48a4f055e76e167153-0,t132195d0000000003,旧推奨データセット系。更新鮮度に注意。
13220,市,東大和市,API確認,t132209d0000000007-32c2d6e41bbc339068a29cf1b6260c6d-0,t132209d0000000007,
13221,市,清瀬市,統合文化財一覧API未確認,,,過年度に文化財一覧オープンデータの掲載例はあるが、現行東京都APIカタログで統合APIを今回確認できず。
13222,市,東久留米市,API確認,t132225d0000000002-f9da52a04f428a573ddef0ad383320b4-0,t132225d0000000002,
13223,市,武蔵村山市,統合文化財一覧API未確認,,,現行東京都オープンデータAPIカタログで、指定・登録文化財をまとめた「文化財一覧」APIを今回確認できず。
13224,市,多摩市,統合文化財一覧API未確認,,,現行東京都オープンデータAPIカタログで、指定・登録文化財をまとめた「文化財一覧」APIを今回確認できず。
13225,市,稲城市,統合文化財一覧API未確認,,,過年度に文化財一覧オープンデータの掲載例はあるが、現行東京都APIカタログで統合APIを今回確認できず。
13227,市,羽村市,統合文化財一覧API未確認,,,現行東京都オープンデータAPIカタログで、指定・登録文化財をまとめた「文化財一覧」APIを今回確認できず。
13228,市,あきる野市,API確認,t132284d0000000004-c5f4246dba8fbeee55f49bb47e9b5d8d-0,t132284d0000000004,APIカタログは旧推奨データセット系。元CSV名も2022版で鮮度注意。
13229,市,西東京市,統合文化財一覧API未確認,,,過年度に文化財一覧オープンデータの掲載例はあるが、現行東京都APIカタログで統合APIを今回確認できず。
13303,町,瑞穂町,統合文化財一覧API未確認,,,現行東京都オープンデータAPIカタログで、指定・登録文化財をまとめた「文化財一覧」APIを今回確認できず。
13305,町,日の出町,統合文化財一覧API未確認,,,現行東京都オープンデータAPIカタログで、指定・登録文化財をまとめた「文化財一覧」APIを今回確認できず。
13307,村,檜原村,統合文化財一覧API未確認,,,現行東京都オープンデータAPIカタログで、指定・登録文化財をまとめた「文化財一覧」APIを今回確認できず。
13308,町,奥多摩町,統合文化財一覧API未確認,,,現行東京都オープンデータAPIカタログで、指定・登録文化財をまとめた「文化財一覧」APIを今回確認できず。
13361,町,大島町,統合文化財一覧API未確認,,,現行東京都オープンデータAPIカタログで、指定・登録文化財をまとめた「文化財一覧」APIを今回確認できず。
13362,村,利島村,統合文化財一覧API未確認,,,現行東京都オープンデータAPIカタログで、指定・登録文化財をまとめた「文化財一覧」APIを今回確認できず。
13363,村,新島村,統合文化財一覧API未確認,,,現行東京都オープンデータAPIカタログで、指定・登録文化財をまとめた「文化財一覧」APIを今回確認できず。
13364,村,神津島村,統合文化財一覧API未確認,,,現行東京都オープンデータAPIカタログで、指定・登録文化財をまとめた「文化財一覧」APIを今回確認できず。
13381,村,三宅村,統合文化財一覧API未確認,,,現行東京都オープンデータAPIカタログで、指定・登録文化財をまとめた「文化財一覧」APIを今回確認できず。
13382,村,御蔵島村,統合文化財一覧API未確認,,,現行東京都オープンデータAPIカタログで、指定・登録文化財をまとめた「文化財一覧」APIを今回確認できず。
13401,町,八丈町,統合文化財一覧API未確認,,,現行東京都オープンデータAPIカタログで、指定・登録文化財をまとめた「文化財一覧」APIを今回確認できず。
13402,村,青ヶ島村,統合文化財一覧API未確認,,,現行東京都オープンデータAPIカタログで、指定・登録文化財をまとめた「文化財一覧」APIを今回確認できず。
13421,村,小笠原村,統合文化財一覧API未確認,,,現行東京都オープンデータAPIカタログで、指定・登録文化財をまとめた「文化財一覧」APIを今回確認できず。
